"unique.mun.NO_MUNICIPIO..x","unique.mun.CO_MUNICIPIO.","unique.mun.SG_UF..x","sum.mun.QT_MAT_ID..2.x","unique.mun.NO_MUNICIPIO..y","unique.mun.SG_UF..y","sum.mun.QT_MAT_ID..2.y","unique.mun.NO_MUNICIPIO..x.x","unique.mun.SG_UF..x.x","sum.mun.QT_MAT_ID..2.x.x","unique.mun.NO_MUNICIPIO..y.y","unique.mun.SG_UF..y.y","sum.mun.QT_MAT_ID..2.y.y","unique.mun.NO_MUNICIPIO..x.x.x","unique.mun.SG_UF..x.x.x","sum.mun.QT_MAT_ID..2.x.x.x","unique.mun.NO_MUNICIPIO..y.y.y","unique.mun.SG_UF..y.y.y","sum.mun.QT_MAT_ID..2.y.y.y","unique.mun.NO_MUNICIPIO..x.x.x.x","unique.mun.SG_UF..x.x.x.x","sum.mun.QT_MAT_ID..2.x.x.x.x","unique.mun.NO_MUNICIPIO..y.y.y.y","unique.mun.SG_UF..y.y.y.y","sum.mun.QT_MAT_ID..2.y.y.y.y","unique.mun.NO_MUNICIPIO..x.x.x.x.x","unique.mun.SG_UF..x.x.x.x.x","sum.mun.QT_MAT_ID..2.x.x.x.x.x","unique.mun.NO_MUNICIPIO..y.y.y.y.y","unique.mun.SG_UF..y.y.y.y.y","sum.mun.QT_MAT_ID..2.y.y.y.y.y","unique.mun.NO_MUNICIPIO..x.x.x.x.x.x","unique.mun.SG_UF..x.x.x.x.x.x","sum.mun.QT_MAT_ID..2.x.x.x.x.x.x","unique.mun.NO_MUNICIPIO..y.y.y.y.y.y","unique.mun.SG_UF..y.y.y.y.y.y","sum.mun.QT_MAT_ID..2.y.y.y.y.y.y","unique.mun.NO_MUNICIPIO..x.x.x.x.x.x.x","unique.mun.SG_UF..x.x.x.x.x.x.x","sum.mun.QT_MAT_ID..2.x.x.x.x.x.x.x","unique.mun.NO_MUNICIPIO..y.y.y.y.y.y.y","unique.mun.SG_UF..y.y.y.y.y.y.y","sum.mun.QT_MAT_ID..2.y.y.y.y.y.y.y","unique.mun.NO_MUNICIPIO..x.x.x.x.x.x.x.x","unique.mun.SG_UF..x.x.x.x.x.x.x.x","sum.mun.QT_MAT_ID..2.x.x.x.x.x.x.x.x","unique.mun.NO_MUNICIPIO..y.y.y.y.y.y.y.y","unique.mun.SG_UF..y.y.y.y.y.y.y.y","sum.mun.QT_MAT_ID..2.y.y.y.y.y.y.y.y"
"Rio Fortuna",4214904,"SC",0.266666666666667,"Rio Fortuna","SC",0.127674418604651,"Rio Fortuna","SC",0.160894660894661,"Rio Fortuna","SC",0.12495164410058,"Rio Fortuna","SC",0.0428571428571429,"Rio Fortuna","SC",0.0672972972972973,"Rio Fortuna","SC",0.135653371470947,"Rio Fortuna","SC",0.171027108861239,"Rio Fortuna","SC",0.253883552709593,"Rio Fortuna","SC",0.207910308315167,"Rio Fortuna","SC",0.34156949259376,"Rio Fortuna","SC",0.401770416904626,"Rio Fortuna","SC",0.377392344497608,"Rio Fortuna","SC",0.341379310344828,"Rio Fortuna","SC",0.194336254462837,"Rio Fortuna","SC",0.837398484580539
"Jaguaruna",4208807,"SC",0.159713418745786,"Jaguaruna","SC",0.158497858303382,"Jaguaruna","SC",0.186291309669523,"Jaguaruna","SC",0.139960846362198,"Jaguaruna","SC",0.154951019327509,"Jaguaruna","SC",0.174676384810178,"Jaguaruna","SC",0.239303761931499,"Jaguaruna","SC",0.265560559674114,"Jaguaruna","SC",0.260191846522782,"Jaguaruna","SC",0.262055759173084,"Jaguaruna","SC",0.280025166867272,"Jaguaruna","SC",0.237043265555725,"Jaguaruna","SC",0.295851929901293,"Jaguaruna","SC",0.258085299914094,"Jaguaruna","SC",0.3308732596641,"Jaguaruna","SC",0.654545454545455
"Sangão",4215455,"SC",0.14687207003147,"Sangão","SC",0.137590678014508,"Sangão","SC",0.0944130646690435,"Sangão","SC",0.0975693702675117,"Sangão","SC",0.103866897719971,"Sangão","SC",0.238204519475952,"Sangão","SC",0.258875789051802,"Sangão","SC",0.328862083635727,"Sangão","SC",0.301716685192046,"Sangão","SC",0.336242719438673,"Sangão","SC",0.29327258627375,"Sangão","SC",0.350444356015387,"Sangão","SC",0.375818251829034,"Sangão","SC",0.312694552529183,"Sangão","SC",0.475695440206481,"Sangão","SC",0.365186159449616
"Xanxerê",4219507,"SC",0.24128510356357,"Xanxerê","SC",0.310329116698642,"Xanxerê","SC",0.322222335307808,"Xanxerê","SC",0.294284728213978,"Xanxerê","SC",0.310708847897513,"Xanxerê","SC",0.329197922016868,"Xanxerê","SC",0.390666709548773,"Xanxerê","SC",0.398230603573715,"Xanxerê","SC",0.372003638017281,"Xanxerê","SC",0.339799743770358,"Xanxerê","SC",0.35063025210084,"Xanxerê","SC",0.353684156182488,"Xanxerê","SC",0.345285524568393,"Xanxerê","SC",0.327130492193799,"Xanxerê","SC",0.374025580408559,"Xanxerê","SC",0.672643172499548
"Gravatal",4206207,"SC",0.181574161179053,"Gravatal","SC",0.142472162994551,"Gravatal","SC",0.249670467977992,"Gravatal","SC",0.197225088865956,"Gravatal","SC",0.28454959280202,"Gravatal","SC",0.232612781954887,"Gravatal","SC",0.242485732403297,"Gravatal","SC",0.250829777145567,"Gravatal","SC",0.211240142126701,"Gravatal","SC",0.349651637457414,"Gravatal","SC",0.367158792650919,"Gravatal","SC",0.472710870545783,"Gravatal","SC",0.416799680766161,"Gravatal","SC",0.41077764439109,"Gravatal","SC",0.501277693119212,"Gravatal","SC",0.829343101343101
"Garopaba",4205704,"SC",0.151571161025744,"Garopaba","SC",0.165698455889585,"Garopaba","SC",0.191351558576898,"Garopaba","SC",0.263563418233526,"Garopaba","SC",0.222265851303508,"Garopaba","SC",0.380972818311874,"Garopaba","SC",0.447694987722397,"Garopaba","SC",0.407569159100788,"Garopaba","SC",0.444566677863621,"Garopaba","SC",0.525487236403996,"Garopaba","SC",0.649268020264071,"Garopaba","SC",0.655489274523982,"Garopaba","SC",0.797289041122601,"Garopaba","SC",0.732609761087928,"Garopaba","SC",0.805454479295539,"Garopaba","SC",0.867366812119419
"Palmeira",4212056,"SC",0.172711295734143,"Palmeira","SC",0.201322930800543,"Palmeira","SC",0.151114023591088,"Palmeira","SC",0.126130198915009,"Palmeira","SC",0.120142602495544,"Palmeira","SC",0.176195426195426,"Palmeira","SC",0.320069204152249,"Palmeira","SC",0.333928571428571,"Palmeira","SC",0.361952861952862,"Palmeira","SC",0.343506493506494,"Palmeira","SC",0.26768680445151,"Palmeira","SC",0.380130293159609,"Palmeira","SC",0.319254491820864,"Palmeira","SC",0.433333333333333,"Palmeira","SC",0.49793956043956,"Palmeira","SC",0.436834094368341
"Criciúma",4204608,"SC",0.233669471266371,"Criciúma","SC",0.25725167915775,"Criciúma","SC",0.29231945041275,"Criciúma","SC",0.319211261625086,"Criciúma","SC",0.36205839695701,"Criciúma","SC",0.367206608168428,"Criciúma","SC",0.375541294432411,"Criciúma","SC",0.461332800863017,"Criciúma","SC",0.446944967876908,"Criciúma","SC",0.476666122102938,"Criciúma","SC",0.507551276542835,"Criciúma","SC",0.476336596099856,"Criciúma","SC",0.508264656231855,"Criciúma","SC",0.498030212652703,"Criciúma","SC",0.584068099149864,"Criciúma","SC",0.721807047250392
"Jaraguá do Sul",4208906,"SC",0.204714290420885,"Jaraguá do Sul","SC",0.193871147918959,"Jaraguá do Sul","SC",0.224206991402897,"Jaraguá do Sul","SC",0.205310376157382,"Jaraguá do Sul","SC",0.229292146033082,"Jaraguá do Sul","SC",0.221822656251034,"Jaraguá do Sul","SC",0.274345396243498,"Jaraguá do Sul","SC",0.300173493434708,"Jaraguá do Sul","SC",0.31100275350785,"Jaraguá do Sul","SC",0.330856053225054,"Jaraguá do Sul","SC",0.368847257075594,"Jaraguá do Sul","SC",0.352005365656651,"Jaraguá do Sul","SC",0.353382233596873,"Jaraguá do Sul","SC",0.397849193551057,"Jaraguá do Sul","SC",0.442452471703211,"Jaraguá do Sul","SC",0.627836760851991
"Forquilhinha",4205456,"SC",0.27380422332461,"Forquilhinha","SC",0.272481833875306,"Forquilhinha","SC",0.305158040737818,"Forquilhinha","SC",0.243143056603742,"Forquilhinha","SC",0.282271995315474,"Forquilhinha","SC",0.334123472277225,"Forquilhinha","SC",0.260088849653287,"Forquilhinha","SC",0.23,"Forquilhinha","SC",0.302352040763912,"Forquilhinha","SC",0.321589861809975,"Forquilhinha","SC",0.352397006529334,"Forquilhinha","SC",0.463769687244761,"Forquilhinha","SC",0.38413318452381,"Forquilhinha","SC",0.284928077713432,"Forquilhinha","SC",0.367442205097807,"Forquilhinha","SC",0.592735326543898
